gene,mean_tumor,mean_normal,log2fc,t_stat,pvalue,pvalue_adj,neg_log10_padj,cohens_d,significant,direction
RNF213,12.610545105172525,5.510805165806506,7.099739939366019,177.52158460078263,0.0,0.0,300.0,11.211517325315716,True,up
RBM47,11.507806536744217,4.411768502148369,7.096038034595849,190.46458903236038,0.0,0.0,300.0,11.350117881870833,True,up
RHOF,9.595015545882072,2.5046154355627177,7.090400110319354,115.34456076948959,0.0,0.0,300.0,7.417633831763614,True,up
GFPT1,11.872150161148417,4.790028811582482,7.082121349565935,199.74499745080234,0.0,0.0,300.0,12.195275647585794,True,up
SLC2A1,11.20772858444689,4.133588296877635,7.074140287569255,95.5805563087783,0.0,0.0,300.0,6.002124701699556,True,up
PAK6,8.541231319015923,1.4721276219139967,7.0691036971019265,147.88445400603445,0.0,0.0,300.0,8.982805191368048,True,up
CANX,14.053473966263907,6.984457002470275,7.069016963793632,237.380208328471,0.0,0.0,300.0,14.543989695352517,True,up
LRIG1,10.760169266502906,3.694511409829305,7.065657856673601,149.77908359185543,0.0,0.0,300.0,9.242314020974817,True,up
SERINC2,11.770492795753686,4.70704045592838,7.063452339825306,138.2050395123698,0.0,0.0,300.0,8.539531763227066,True,up
HLTF,9.804280873336447,2.750360849058772,7.053920024277675,170.27822100458445,0.0,0.0,300.0,10.452509087275812,True,up
SEL1L3,11.980242519307849,4.926560540311679,7.0536819789961696,189.9982378377249,0.0,0.0,300.0,11.758162816891497,True,up
MAL2,12.945486230187933,5.896942914653888,7.048543315534046,126.91293716561319,0.0,0.0,300.0,7.787092906950581,True,up
RUNX1,11.476860037823048,4.433039123136121,7.043820914686927,194.69565645971534,0.0,0.0,300.0,11.875828224648679,True,up
KIAA0753,8.51864391663209,1.4768621075358996,7.04178180909619,227.90014782551305,0.0,0.0,300.0,13.868474707398365,True,up
KIAA1217,10.960531548687943,3.919518546708934,7.0410130019790085,165.98543594440173,0.0,0.0,300.0,9.945451811022131,True,up
RAP1B,11.076785712328322,4.036536385532053,7.0402493267962685,203.32443402484006,0.0,0.0,300.0,12.62313769926763,True,up
FBXL18,8.79146943315884,1.7546162568052437,7.0368531763535955,168.69472447004384,0.0,0.0,300.0,10.769733022335965,True,up
CEP350,10.318700751016781,3.286277720615978,7.032423030400803,277.43333455747313,0.0,0.0,300.0,17.128451080937378,True,up
EPB41,10.45961341336368,3.442081471901997,7.017531941461684,231.1261044641419,0.0,0.0,300.0,14.423886730698461,True,up
SPINT2,13.466228573364111,6.455362167309133,7.010866406054978,168.09866979918587,0.0,0.0,300.0,10.347826943009025,True,up
