gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens,degree,weighted_degree,betweenness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,tumor_mean,tumor_std,normal_mean,normal_std,abs_log2fc_rank,neg_log10_padj_rank
FABP3,0.968467,94,99.15,1,1,True,3.27467,0.0,171.713067,up,True,7.475318,4.200648,False,False,False,1,0.601699,0.0,0.000111,0.0,1,0.601699,7.475318,1.773624,4.200648,1.086575,0.260331,0.184963
SLPI,0.968433,95,99.14,1,1,True,1.968011,0.0,52.565568,ns,False,11.642161,9.67415,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,11.642161,2.192644,9.67415,1.743401,0.112507,0.064628
CXCR2,0.968233,96,99.14,1,1,True,1.32167,0.0,53.996785,ns,False,4.567931,3.246261,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,4.567931,1.41748,3.246261,1.205443,0.065811,0.066084
EDNRB,0.9679,97,99.13,1,1,True,1.836547,0.0,121.61337,ns,False,7.872972,6.036426,False,False,False,59,39.127445,2e-05,0.000364,0.460413,1,0.663177,7.872972,1.292399,6.036426,0.73819,0.102039,0.13053
AURKB,0.966367,98,99.12,1,1,True,5.304061,0.0,300.0,up,True,7.419478,2.115416,False,False,False,216,159.830038,0.000379,0.000146,0.51802,1,0.739954,7.419478,1.466787,2.115416,0.986113,0.750046,0.666394
SOX2,0.966267,99,99.11,1,1,True,5.940738,0.0,210.207863,up,True,7.125615,1.184877,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.125615,2.680019,1.184877,1.158967,0.883306,0.22556
ORM1,0.966233,100,99.1,1,1,True,2.926088,0.0,84.397013,up,True,6.558716,3.632628,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.558716,2.532671,3.632628,1.760586,0.209721,0.094939
PLAT,0.9658,101,99.09,1,1,True,4.623326,0.0,250.639286,up,True,10.393505,5.770179,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.393505,1.802957,5.770179,1.015592,0.564992,0.273075
PCSK2,0.9647,102,99.08,1,1,True,3.234042,0.0,55.568441,up,True,4.594309,1.360267,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,4.594309,3.674003,1.360267,1.193669,0.253413,0.068087
ASPM,0.964667,103,99.07,1,1,True,7.489947,0.0,300.0,up,True,8.234965,0.745017,False,False,False,202,150.555512,0.000131,0.000134,0.559745,1,0.745324,8.234965,1.407864,0.745017,0.519761,0.990898,0.666394
MARCO,0.9643,104,99.06,1,0,False,2.04871,0.0,65.911209,up,True,9.023295,6.974584,False,True,True,0,0.0,0.0,0.0,0.0,0,0.0,9.023295,2.10625,6.974584,1.351161,0.120335,0.078555
MMP12,0.964133,105,99.05,1,1,True,7.078985,0.0,264.970886,up,True,7.900891,0.821906,False,False,False,1,0.635213,0.0,1.7e-05,0.0,1,0.635213,7.900891,2.461015,0.821906,0.80697,0.980339,0.291189
PEBP4,0.963967,106,99.04,1,1,True,0.036305,0.797951,0.098024,ns,False,6.353203,6.316899,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.353203,2.821518,6.316899,1.576313,0.000819,0.000273
MMP1,0.9639,107,99.04,1,1,True,7.028736,0.0,266.575594,up,True,9.051521,2.022786,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.051521,2.605765,2.022786,1.746487,0.978973,0.293464
RXRG,0.963667,108,99.03,1,1,True,1.264618,0.0,34.64967,ns,False,3.262976,1.998358,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,3.262976,1.907656,1.998358,0.918096,0.062898,0.046423
